participant_id,recruiter_id,status,is_debug,app_version,assignment_source,arm,order,pairing,brand_neutral,brand_experimental,started_at,submitted_at,received_at,duration_s,device,viewport,dpr,touch,abandoned,abandoned_at_step,resumed_after_reload,neutral_condition,neutral_brand,neutral_block_position,neutral_decline_label,neutral_choice,neutral_response_code,neutral_latency_ms,neutral_time_to_first_touch_ms,neutral_cancelled_taps,neutral_pointer_cancels,neutral_press_dwell_ms,neutral_post_dismiss_dwell_ms,neutral_continuation_auto_advanced,neutral_scroll_events,neutral_rage_taps,neutral_popup_render_gap_ms,neutral_product_viewed,neutral_time_on_store_ms,neutral_b1_guilt,neutral_b2_irritation,neutral_b3_manipulation,neutral_b4_trust,neutral_b5_raw,neutral_b5_ord,neutral_b6_open,exp_condition,exp_brand,exp_block_position,exp_decline_label,exp_choice,exp_response_code,exp_latency_ms,exp_time_to_first_touch_ms,exp_cancelled_taps,exp_pointer_cancels,exp_press_dwell_ms,exp_post_dismiss_dwell_ms,exp_continuation_auto_advanced,exp_scroll_events,exp_rage_taps,exp_popup_render_gap_ms,exp_product_viewed,exp_time_on_store_ms,exp_b1_guilt,exp_b2_irritation,exp_b3_manipulation,exp_b4_trust,exp_b5_raw,exp_b5_ord,exp_b6_open,diff_b1_guilt,diff_b2_irritation,diff_b3_manipulation,diff_b4_trust,diff_b5,aware_brand1_raw,aware_brand2_raw,aware_neutral_correct,aware_exp_correct,c1_raw,c2_raw,c3_raw,c4_raw,c5_raw,c6_open,c1_exp_more_manipulative,c2_trust_exp_more,c3_recoded,c4_choose_exp,c5_recoded,popup_freq,dp_awareness,shopping_freq,age_band,gender,occupation,event_log_json
sim-001,4,complete,FALSE,sim,group_code,mild,exp_first,veloure_neutral,Maison Veloure,Aurevella,2026-09-14T09:00:00.000Z,2026-09-14T09:00:00.000Z,,283.1,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Maison Veloure,2,No thanks,decline_button,resist,1669.5,751.3,1,0,172,2312,TRUE,9,0,120,bottle_tall,36546,3,3,3,4,buy,3,"Felt a bit pushy, so I closed it.",mild,Aurevella,1,"No thanks, I’ll pay full price",close_x,avoid,1874.5,843.5,0,3,177,3656,FALSE,16,0,324,bottle_tall,31626,4,2,4,5,buy,3,,1,-1,1,1,0,neutral,mild,FALSE,FALSE,veloure,aurevella,3,compare_further,3,,FALSE,TRUE,3,FALSE,3,3,no,4,35_44,woman,both,"[{""t"":0,""type"":""consent_accepted""}]"
sim-002,3,complete,FALSE,sim,group_code,autonomy,neutral_first,aurevella_neutral,Aurevella,Maison Veloure,2026-09-14T10:07:00.000Z,2026-09-14T10:07:00.000Z,,376.2,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Aurevella,1,No thanks,decline_button,resist,1550.5,697.7,0,3,77,5200,FALSE,19,0,322,bottle_tall,27854,3,3,3,5,compare,2,"Felt a bit pushy, so I closed it.",autonomy,Maison Veloure,2,Not now — I’ll decide later,decline_button,resist,2060.1,927,0,1,239,2572,FALSE,3,0,72,bottle_tall,26437,4,4,4,5,compare,2,"Felt a bit pushy, so I closed it.",1,1,1,0,0,neutral,dont_remember,TRUE,FALSE,aurevella,veloure,4,veloure,4,,FALSE,TRUE,4,TRUE,4,3,no,5,25_34,man,both,"[{""t"":0,""type"":""consent_accepted""}]"
sim-003,1,complete,FALSE,sim,group_code,mild,exp_first,veloure_neutral,Maison Veloure,Aurevella,2026-09-14T11:14:00.000Z,2026-09-14T11:14:00.000Z,,346.2,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Maison Veloure,2,No thanks,decline_button,resist,1656.7,745.5,0,3,121,3964,TRUE,16,0,83,bottle_tall,32942,3,2,2,4,compare,2,,mild,Aurevella,1,"No thanks, I’ll pay full price",decline_button,resist,2157,970.7,0,0,141,5157,FALSE,17,0,415,bottle_tall,31489,3,3,2,3,avoid,0,,0,1,0,-1,-2,dont_remember,mild,FALSE,FALSE,both,aurevella,2,compare_further,1,The second one felt more pushy than the first.,FALSE,TRUE,2,FALSE,1,2,no,4,25_34,man,both,"[{""t"":0,""type"":""consent_accepted""}]"
sim-004,4,complete,FALSE,sim,group_code,strong,exp_first,aurevella_neutral,Aurevella,Maison Veloure,2026-09-14T12:21:00.000Z,2026-09-14T12:21:00.000Z,,367.6,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Aurevella,2,No thanks,decline_button,resist,2650.4,1192.7,0,3,101,5086,FALSE,16,0,164,bottle_tall,34674,2,1,2,5,compare,2,"Felt a bit pushy, so I closed it.",strong,Maison Veloure,1,"No thanks, I don’t need to save money",close_x,avoid,3792.7,1706.7,0,0,105,3632,TRUE,7,0,132,bottle_tall,16803,2,3,4,2,compare,2,"Felt a bit pushy, so I closed it.",0,2,2,-3,0,neutral,strong,FALSE,FALSE,both,aurevella,1,aurevella,1,The second one felt more pushy than the first.,FALSE,FALSE,1,FALSE,1,3,not_sure,4,25_34,woman,working,"[{""t"":0,""type"":""consent_accepted""}]"
sim-005,2,complete,FALSE,sim,group_code,strong,neutral_first,veloure_neutral,Maison Veloure,Aurevella,2026-09-14T13:28:00.000Z,2026-09-14T13:28:00.000Z,,353.3,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Maison Veloure,1,No thanks,decline_button,resist,1559.9,702,0,2,146,4640,FALSE,3,0,156,bottle_tall,12289,3,2,4,4,compare,2,"Felt a bit pushy, so I closed it.",strong,Aurevella,2,"No thanks, I don’t need to save money",decline_button,resist,3278.1,1475.2,0,2,138,841,TRUE,18,0,351,bottle_tall,27003,3,4,5,4,compare,2,,0,2,1,0,0,dont_remember,strong,FALSE,TRUE,aurevella,veloure,5,aurevella,6,The second one felt more pushy than the first.,TRUE,FALSE,3,TRUE,2,4,yes,3,35_44,woman,both,"[{""t"":0,""type"":""consent_accepted""}]"
sim-006,,complete,FALSE,sim,random,strong,exp_first,veloure_neutral,Maison Veloure,Aurevella,2026-09-14T14:35:00.000Z,2026-09-14T14:35:00.000Z,,348.4,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Maison Veloure,2,No thanks,accept,comply,1115.8,502.1,0,1,126,6176,FALSE,19,0,51,bottle_tall,14311,3,4,4,5,compare,2,,strong,Aurevella,1,"No thanks, I don’t need to save money",decline_button,resist,4582.5,2062.1,0,0,105,1474,FALSE,9,0,185,bottle_tall,37150,3,5,4,4,compare,2,,0,1,0,-1,0,neutral,dont_remember,FALSE,FALSE,aurevella,veloure,2,aurevella,2,The second one felt more pushy than the first.,TRUE,FALSE,2,TRUE,2,4,yes,4,35_44,man,both,"[{""t"":0,""type"":""consent_accepted""}]"
sim-007,3,complete,FALSE,sim,group_code,mild,exp_first,veloure_neutral,Maison Veloure,Aurevella,2026-09-14T15:42:00.000Z,2026-09-14T15:42:00.000Z,,376,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Maison Veloure,2,No thanks,decline_button,ignore,1357.8,611,1,2,165,3602,FALSE,13,0,40,bottle_tall,10106,3,2,2,4,avoid,0,,mild,Aurevella,1,"No thanks, I’ll pay full price",decline_button,resist,2506,1127.7,0,2,206,3524,FALSE,6,0,224,bottle_tall,24368,2,3,3,5,competitor,1,"Felt a bit pushy, so I closed it.",-1,1,1,1,1,dont_remember,mild,FALSE,FALSE,aurevella,aurevella,3,aurevella,3,The second one felt more pushy than the first.,TRUE,TRUE,3,TRUE,3,4,no,3,18_24,prefer_not,working,"[{""t"":0,""type"":""consent_accepted""}]"
sim-008,1,complete,FALSE,sim,group_code,autonomy,exp_first,aurevella_neutral,Aurevella,Maison Veloure,2026-09-14T16:49:00.000Z,2026-09-14T16:49:00.000Z,,280.8,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Aurevella,2,No thanks,decline_button,resist,3034.6,1365.6,0,0,147,2173,FALSE,3,0,156,bottle_tall,24195,3,2,1,4,avoid,0,"Felt a bit pushy, so I closed it.",autonomy,Maison Veloure,1,Not now — I’ll decide later,accept,comply,1949.6,877.3,0,0,140,1844,FALSE,7,0,146,bottle_tall,19395,2,4,3,4,buy,3,,-1,2,2,0,3,neutral,dont_remember,FALSE,FALSE,aurevella,veloure,3,compare_further,3,,FALSE,TRUE,3,FALSE,3,3,no,2,18_24,man,working,"[{""t"":0,""type"":""consent_accepted""}]"
sim-009,1,complete,FALSE,sim,group_code,strong,neutral_first,aurevella_neutral,Aurevella,Maison Veloure,2026-09-15T09:56:00.000Z,2026-09-15T09:56:00.000Z,,252.6,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Aurevella,1,No thanks,accept,comply,1900.1,855,0,2,145,5773,FALSE,19,0,238,bottle_tall,36200,3,2,2,4,avoid,0,"Felt a bit pushy, so I closed it.",strong,Maison Veloure,2,"No thanks, I don’t need to save money",close_x,avoid,3307.2,1488.3,1,1,207,4483,FALSE,3,0,241,bottle_tall,20673,3,4,4,4,competitor,1,,0,2,2,0,1,dont_remember,strong,FALSE,TRUE,veloure,aurevella,6,compare_further,6,,TRUE,FALSE,2,FALSE,2,5,no,3,35_44,prefer_not,both,"[{""t"":0,""type"":""consent_accepted""}]"
sim-010,4,complete,FALSE,sim,group_code,autonomy,exp_first,veloure_neutral,Maison Veloure,Aurevella,2026-09-15T10:03:00.000Z,2026-09-15T10:03:00.000Z,,292.4,Mozilla/5.0 (Linux; Android 13; SM-G991B),360x780,3,TRUE,FALSE,,FALSE,neutral,Maison Veloure,2,No thanks,decline_button,resist,2930.1,1318.5,0,3,68,3135,FALSE,3,0,169,bottle_tall,25240,3,1,2,2,buy,3,"Felt a bit pushy, so I closed it.",autonomy,Aurevella,1,Not now — I’ll decide later,decline_button,resist,3160.9,1422.4,0,3,129,3453,FALSE,17,0,176,bottle_tall,22533,2,1,1,5,buy,3,"Felt a bit pushy, so I closed it.",-1,0,-1,3,0,neutral,autonomy,FALSE,FALSE,aurevella,veloure,4,compare_further,4,,TRUE,FALSE,4,FALSE,4,4,not_sure,2,25_34,man,student,"[{""t"":0,""type"":""consent_accepted""}]"
